directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions
AU NBAC N193-001/,N193-001_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0001.tif,N193-001,1901-01-01,1901-03-01,1901,6237,5000,3,"0,1811,3222"
AU NBAC N193-001/,N193-001_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0002.tif,N193-001,1901-01-01,1901-03-01,1901,6266,5000,3,"205,1840,3259"
AU NBAC N193-001/,N193-001_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0003.tif,N193-001,1901-01-01,1901-03-01,1901,6237,5000,2,"286,2068"
AU NBAC N193-001/,N193-001_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0004.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"9,1821,3219"
AU NBAC N193-001/,N193-001_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0005.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"288,1821,3220"
AU NBAC N193-001/,N193-001_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0006.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"292,2051"
AU NBAC N193-001/,N193-001_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0007.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"8,1820,3219"
AU NBAC N193-001/,N193-001_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0008.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"281,2040"
AU NBAC N193-001/,N193-001_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0009.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"289,1814,3212"
AU NBAC N193-001/,N193-001_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0010.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"332,1812,3210"
AU NBAC N193-001/,N193-001_0011.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0011.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"289,2022"
AU NBAC N193-001/,N193-001_0012.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0012.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"267,1788,3186"
AU NBAC N193-001/,N193-001_0013.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0013.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"278,2009"
AU NBAC N193-001/,N193-001_0014.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0014.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"284,1789,3186"
AU NBAC N193-001/,N193-001_0015.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0015.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"8,1764,3162"
AU NBAC N193-001/,N193-001_0016.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0016.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"270,2021"
AU NBAC N193-001/,N193-001_0017.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0017.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"296,1802,3197"
AU NBAC N193-001/,N193-001_0018.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0018.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,2,"283,2022"
AU NBAC N193-001/,N193-001_0019.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0019.tif,N193-001,1901-01-01,1901-03-01,1901,6236,5000,3,"300,1794,3189"
AU NBAC N193-001/,N193-001_0020.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0020.tif,N193-001,1901-01-01,1901-03-01,1901,6309,5000,3,"240,1768,3190"
AU NBAC N193-001/,N193-001_0021.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0021.tif,N193-001,1901-01-01,1901-03-01,1901,6277,5000,2,"249,2015"
AU NBAC N193-001/,N193-001_0022.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0022.tif,N193-001,1901-01-01,1901-03-01,1901,6277,5000,3,"255,1790,3214"
AU NBAC N193-001/,N193-001_0023.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0023.tif,N193-001,1901-01-01,1901-03-01,1901,6277,5000,2,"251,2004"
AU NBAC N193-001/,N193-001_0024.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0024.tif,N193-001,1901-01-01,1901-03-01,1901,6277,5000,3,"239,1788,3215"
AU NBAC N193-001/,N193-001_0025.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-001/N193-001_0025.tif,N193-001,1901-01-01,1901-03-01,1901,6277,5000,2,"250,2004"
