,directory,name,path,referenceCode,startDate,endDate,year,width,height,columns,column_positions,page_date
0,AU NBAC N193-005/,N193-005_0001.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0001.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"131,1810,3301",1902-01-06
1,AU NBAC N193-005/,N193-005_0002.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0002.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"154,1803,3296",1902-01-06
2,AU NBAC N193-005/,N193-005_0003.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0003.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,2,"161,2134",1902-01-06
3,AU NBAC N193-005/,N193-005_0004.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0004.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"137,1755,3245",1902-01-06
4,AU NBAC N193-005/,N193-005_0005.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0005.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,2,"140,2129",1902-01-06
5,AU NBAC N193-005/,N193-005_0006.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0006.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"162,1795,3284",1902-01-07
6,AU NBAC N193-005/,N193-005_0007.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0007.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"159,1778,3266",1902-01-07
7,AU NBAC N193-005/,N193-005_0008.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0008.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,2,"150,2121",1902-01-07
8,AU NBAC N193-005/,N193-005_0009.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0009.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,3,"156,1770,3259",1902-01-07
9,AU NBAC N193-005/,N193-005_0010.tif,Shared/ANU-Library/Sydney Stock Exchange 1901-1950/AU NBAC N193-005/N193-005_0010.tif,N193-005,1902-01-01,1902-03-01,1902,6376,5000,2,"149,2122",1902-01-07
