referenceCode,title,dates,startDate,accessConditions,locations
N193-1,"Sydney Stock Exchange Stock and Share Lists","1901-01-01 - 1901-03-01",1901-01-01,,
N193-2,"Sydney Stock Exchange Stock and Share Lists","1901-04-01 - 1901-06-01",1901-04-01,,
N193-3,"Sydney Stock Exchange Stock and Share Lists","1901-07-01 - 1901-09-01",1901-07-01,,
N193-4,"Sydney Stock Exchange Stock and Share Lists","1901-10-01 - 1901-12-01",1901-10-01,,
N193-5,"Sydney Stock Exchange Stock and Share Lists","1902-01-01 - 1902-03-01",1902-01-01,,
N193-6,"Sydney Stock Exchange Stock and Share Lists","1902-04-01 - 1902-06-01",1902-04-01,,
N193-7,"Sydney Stock Exchange Stock and Share Lists","1902-07-01 - 1902-09-01",1902-07-01,,
N193-8,"Sydney Stock Exchange Stock and Share Lists","1902-10-01 - 1902-12-01",1902-10-01,,
N193-9,"Sydney Stock Exchange Stock and Share Lists","1903-01-01 - 1903-03-01",1903-01-01,,
N193-10,"Sydney Stock Exchange Stock and Share Lists","1903-04-01 - 1903-06-01",1903-04-01,,
N193-11,"Sydney Stock Exchange Stock and Share Lists","1903-07-01 - 1903-09-01",1903-07-01,,
N193-12,"Sydney Stock Exchange Stock and Share Lists","1903-10-01 - 1903-12-01",1903-10-01,,
N193-13,"Sydney Stock Exchange Stock and Share Lists","1904-01-01 - 1904-03-01",1904-01-01,,
N193-14,"Sydney Stock Exchange Stock and Share Lists","1904-04-01 - 1904-06-01",1904-04-01,,
N193-15,"Sydney Stock Exchange Stock and Share Lists","1904-07-01 - 1904-09-01",1904-07-01,,
N193-16,"Sydney Stock Exchange Stock and Share Lists","1904-10-01 - 1904-12-01",1904-10-01,,
N193-17,"Sydney Stock Exchange Stock and Share Lists","1905-01-01 - 1905-03-01",1905-01-01,,
N193-18,"Sydney Stock Exchange Stock and Share Lists","1905-04-01 - 1905-06-01",1905-04-01,,
N193-19,"Sydney Stock Exchange Stock and Share Lists","1905-07-01 - 1905-09-01",1905-07-01,,
N193-20,"Sydney Stock Exchange Stock and Share Lists","1905-10-01 - 1905-12-01",1905-10-01,,
N193-21,"Sydney Stock Exchange Stock and Share Lists","1906-01-01 - 1906-03-01",1906-01-01,,
N193-22,"Sydney Stock Exchange Stock and Share Lists","1906-04-01 - 1906-06-01",1906-04-01,,
N193-23,"Sydney Stock Exchange Stock and Share Lists","1906-07-01 - 1906-09-01",1906-07-01,,
N193-24,"Sydney Stock Exchange Stock and Share Lists","1906-10-01 - 1906-12-01",1906-10-01,,
N193-25,"Sydney Stock Exchange Stock and Share Lists","1907-01-01 - 1907-03-01",1907-01-01,,
N193-26,"Sydney Stock Exchange Stock and Share Lists","1907-04-01 - 1907-06-01",1907-04-01,,
N193-27,"Sydney Stock Exchange Stock and Share Lists","1907-07-01 - 1907-09-01",1907-07-01,,
N193-28,"Sydney Stock Exchange Stock and Share Lists","1907-10-01 - 1907-12-01",1907-10-01,,
N193-29,"Sydney Stock Exchange Stock and Share Lists","1908-01-01 - 1908-03-01",1908-01-01,,
N193-30,"Sydney Stock Exchange Stock and Share Lists","1908-04-01 - 1908-06-01",1908-04-01,,
N193-31,"Sydney Stock Exchange Stock and Share Lists","1908-07-01 - 1908-09-01",1908-07-01,,
N193-32,"Sydney Stock Exchange Stock and Share Lists","1908-10-01 - 1908-12-01",1908-10-01,,
N193-33,"Sydney Stock Exchange Stock and Share Lists","1909-01-01 - 1909-03-01",1909-01-01,,
N193-34,"Sydney Stock Exchange Stock and Share Lists","1909-04-01 - 1909-06-01",1909-04-01,,
N193-35,"Sydney Stock Exchange Stock and Share Lists","1909-07-01 - 1909-09-01",1909-07-01,,
N193-36,"Sydney Stock Exchange Stock and Share Lists","1909-10-01 - 1909-12-01",1909-10-01,,
N193-37,"Sydney Stock Exchange Stock and Share Lists","1910-01-01 - 1910-03-01",1910-01-01,,
N193-38,"Sydney Stock Exchange Stock and Share Lists","1910-04-01 - 1910-06-01",1910-04-01,,
N193-39,"Sydney Stock Exchange Stock and Share Lists","1910-07-01 - 1910-09-01",1910-07-01,,
N193-40,"Sydney Stock Exchange Stock and Share Lists","1910-10-01 - 1910-12-01",1910-10-01,,
N193-41,"Sydney Stock Exchange Stock and Share Lists","1911-01-01 - 1911-03-01",1911-01-01,,
N193-42,"Sydney Stock Exchange Stock and Share Lists","1911-04-01 - 1911-06-01",1911-04-01,,
N193-43,"Sydney Stock Exchange Stock and Share Lists","1911-07-01 - 1911-09-01",1911-07-01,,
N193-44,"Sydney Stock Exchange Stock and Share Lists","1911-10-01 - 1911-12-01",1911-10-01,,
N193-45,"Sydney Stock Exchange Stock and Share Lists","1912-01-01 - 1912-03-01",1912-01-01,,
N193-46,"Sydney Stock Exchange Stock and Share Lists","1912-04-01 - 1912-06-01",1912-04-01,,
N193-47,"Sydney Stock Exchange Stock and Share Lists","1912-07-01 - 1912-09-01",1912-07-01,,
N193-48,"Sydney Stock Exchange Stock and Share Lists","1912-10-01 - 1912-12-01",1912-10-01,,
N193-49,"Sydney Stock Exchange Stock and Share Lists","1913-01-01 - 1913-03-01",1913-01-01,,
N193-50,"Sydney Stock Exchange Stock and Share Lists","1913-04-01 - 1913-06-01",1913-04-01,,
N193-51,"Sydney Stock Exchange Stock and Share Lists","1913-07-01 - 1913-09-01",1913-07-01,,
N193-52,"Sydney Stock Exchange Stock and Share Lists","1913-10-01 - 1913-12-01",1913-10-01,,
N193-53,"Sydney Stock Exchange Stock and Share Lists","1914-01-01 - 1914-03-01",1914-01-01,,
N193-54,"Sydney Stock Exchange Stock and Share Lists","1914-04-01 - 1914-06-01",1914-04-01,,
N193-55,"Sydney Stock Exchange Stock and Share Lists","1914-07-01 - 1914-09-01",1914-07-01,,
N193-56,"Sydney Stock Exchange Stock and Share Lists","1914-10-01 - 1914-12-01",1914-10-01,,
N193-57,"Sydney Stock Exchange Stock and Share Lists","1915-01-01 - 1915-03-01",1915-01-01,,
N193-58,"Sydney Stock Exchange Stock and Share Lists","1915-04-01 - 1915-06-01",1915-04-01,,
N193-59,"Sydney Stock Exchange Stock and Share Lists","1915-07-01 - 1915-09-01",1915-07-01,,
N193-60,"Sydney Stock Exchange Stock and Share Lists","1915-10-01 - 1915-12-01",1915-10-01,,
N193-61,"Sydney Stock Exchange Stock and Share Lists","1916-01-01 - 1916-03-01",1916-01-01,,
N193-62,"Sydney Stock Exchange Stock and Share Lists","1916-04-01 - 1916-06-01",1916-04-01,,
N193-63,"Sydney Stock Exchange Stock and Share Lists","1916-07-01 - 1916-09-01",1916-07-01,,
N193-64,"Sydney Stock Exchange Stock and Share Lists","1916-10-01 - 1916-12-01",1916-10-01,,
N193-65,"Sydney Stock Exchange Stock and Share Lists","1917-01-01 - 1917-03-01",1917-01-01,,
N193-66,"Sydney Stock Exchange Stock and Share Lists","1917-04-01 - 1917-06-01",1917-04-01,,
N193-67,"Sydney Stock Exchange Stock and Share Lists","1917-07-01 - 1917-09-01",1917-07-01,,
N193-68,"Sydney Stock Exchange Stock and Share Lists","1917-10-01 - 1917-12-01",1917-10-01,,
