date,holiday,year
1900-01-01,New Years day,1900
1900-01-26,Anniversary Day,1900
1900-04-13,Good Friday,1900
1900-04-14,Easter Saturday,1900
1900-04-16,Easter Monday,1900
1900-05-25,Queen's Birthday,1900
1900-08-06,Bank Holiday,1900
1900-10-01,Labour Day,1900
1900-11-12,Prince of Wales's Birthday,1900
1900-12-25,Christmas Day,1900
1900-12-26,Boxing Day,1900
1901-01-01,New Years day,1901
1901-01-26,Anniversary Day,1901
1901-02-02,Day of Mourning for Queen,1901
1901-04-05,Good Friday,1901
1901-04-06,Easter Saturday,1901
1901-04-08,Easter Monday,1901
1901-06-03,Prince of Wales's Birthday,1901
1901-08-05,Bank Holiday,1901
1901-10-07,Labour Day,1901
1901-11-11,King's Birthday,1901
1901-12-25,Christmas Day,1901
1901-12-26,Boxing Day,1901
1902-01-01,New Years day,1902
1902-01-27,Anniversary Day,1902
1902-03-28,Good Friday,1902
1902-03-29,Easter Saturday,1902
1902-03-31,Easter Monday,1902
1902-06-09,Prince of Wales's Birthday,1902
1902-08-04,Bank Holiday,1902
1902-10-06,Labour Day,1902
1902-11-10,King's Birthday,1902
1902-12-25,Christmas Day,1902
1902-12-26,Boxing Day,1902
1903-01-01,New Years day,1903
1903-01-26,Anniversary Day,1903
1903-04-10,Good Friday,1903
1903-04-11,Easter Saturday,1903
1903-04-13,Easter Monday,1903
1903-06-08,Prince of Wales's Birthday,1903
1903-08-03,Bank Holiday,1903
1903-10-05,Labour Day,1903
1903-11-09,King's Birthday,1903
1903-12-25,Christmas Day,1903
1903-12-26,Boxing Day,1903
1904-01-01,New Years day,1904
1904-01-26,Anniversary Day,1904
1904-04-01,Good Friday,1904
1904-04-02,Easter Saturday,1904
1904-04-04,Easter Monday,1904
1904-06-06,Prince of Wales's Birthday,1904
1904-08-01,Bank Holiday,1904
1904-10-03,Labour Day,1904
1904-11-14,King's Birthday,1904
1904-12-26,Christmas Day,1904
1904-12-27,Boxing Day,1904
1905-01-02,New Years day,1905
1905-01-26,Anniversary Day,1905
1905-04-21,Good Friday,1905
1905-04-22,Easter Saturday,1905
1905-04-24,Easter Monday,1905
1905-06-05,Prince of Wales's Birthday,1905
1905-08-07,Bank Holiday,1905
1905-10-02,Labour Day,1905
1905-11-13,King's Birthday,1905
1905-12-25,Christmas Day,1905
1905-12-26,Boxing Day,1905
1906-01-01,New Years day,1906
1906-01-26,Anniversary Day,1906
1906-04-13,Good Friday,1906
1906-04-14,Easter Saturday,1906
1906-04-16,Easter Monday,1906
1906-06-04,Prince of Wales's Birthday,1906
1906-08-06,Bank Holiday,1906
1906-10-01,Labour Day,1906
1906-11-12,King's Birthday,1906
1906-12-25,Christmas Day,1906
1906-12-26,Boxing Day,1906
1907-01-01,New Years day,1907
1907-01-26,Anniversary Day,1907
1907-03-29,Good Friday,1907
1907-03-30,Easter Saturday,1907
1907-04-01,Easter Monday,1907
1907-06-03,Prince of Wales's Birthday,1907
1907-08-05,Bank Holiday,1907
1907-10-07,Labour Day,1907
1907-11-11,King's Birthday,1907
1907-12-25,Christmas Day,1907
1907-12-26,Boxing Day,1907
1908-01-01,New Years day,1908
1908-01-27,Anniversary Day,1908
1908-04-17,Good Friday,1908
1908-04-18,Easter Saturday,1908
1908-04-20,Easter Monday,1908
1908-06-08,Prince of Wales's Birthday,1908
1908-08-03,Bank Holiday,1908
1908-10-05,Labour Day,1908
1908-11-09,King's Birthday,1908
1908-12-25,Christmas Day,1908
1908-12-26,Boxing Day,1908
1909-01-01,New Years day,1909
1909-01-26,Anniversary Day,1909
1909-04-09,Good Friday,1909
1909-04-10,Easter Saturday,1909
1909-04-12,Easter Monday,1909
1909-06-07,Prince of Wales's Birthday,1909
1909-08-02,Bank Holiday,1909
1909-10-04,Labour Day,1909
1909-11-15,King's Birthday,1909
1909-12-25,Christmas Day,1909
1909-12-27,Boxing Day,1909
1910-01-01,New Years day,1910
1910-01-26,Anniversary Day,1910
1910-03-25,Good Friday,1910
1910-03-26,Easter Saturday,1910
1910-03-28,Easter Monday,1910
1910-05-20,Day of Mourning for King,1910
1910-06-06,King's Birthday,1910
1910-06-27,Prince of Wales's Birthday,1910
1910-08-01,Bank Holiday,1910
1910-10-03,Labour Day,1910
1910-12-26,Christmas Day,1910
1910-12-27,Boxing Day,1910
1911-01-02,New Years day,1911
1911-01-26,Anniversary Day,1911
1911-02-22,Coronation,1911
1911-04-14,Good Friday,1911
1911-04-15,Easter Saturday,1911
1911-04-17,Easter Monday,1911
1911-06-05,King's Birthday,1911
1911-08-07,Bank Holiday,1911
1911-08-22,Prince of Wales's Birthday,1911
1911-10-02,Labour Day,1911
1911-12-25,Christmas Day,1911
1911-12-26,Boxing Day,1911
1912-01-01,New Years day,1912
1912-01-26,Anniversary Day,1912
1912-04-05,Good Friday,1912
1912-04-06,Easter Saturday,1912
1912-04-08,Easter Monday,1912
1912-06-03,King's Birthday,1912
1912-06-24,Prince of Wales's Birthday,1912
1912-08-05,Bank Holiday,1912
1912-10-07,Labour Day,1912
1912-12-25,Christmas Day,1912
1912-12-26,Boxing Day,1912
1913-01-01,New Years day,1913
1913-01-27,Anniversary Day,1913
1913-03-21,Good Friday,1913
1913-03-22,Easter Saturday,1913
1913-03-24,Easter Monday,1913
1913-06-09,King's Birthday,1913
1913-06-23,Prince of Wales's Birthday,1913
1913-08-04,Bank Holiday,1913
1913-10-06,Labour Day,1913
1913-12-25,Christmas Day,1913
1913-12-26,Boxing Day,1913
1914-01-01,New Years day,1914
1914-01-26,Anniversary Day,1914
1914-04-10,Good Friday,1914
1914-04-11,Easter Saturday,1914
1914-04-13,Easter Monday,1914
1914-06-08,King's Birthday,1914
1914-06-29,Prince of Wales's Birthday,1914
1914-08-03,Bank Holiday,1914
1914-10-05,Labour Day,1914
1914-12-25,Christmas Day,1914
1914-12-26,Boxing Day,1914
1915-01-01,New Years day,1915
1915-01-26,Anniversary Day,1915
1915-04-02,Good Friday,1915
1915-04-03,Easter Saturday,1915
1915-04-05,Easter Monday,1915
1915-06-07,King's Birthday,1915
1915-06-28,Prince of Wales's Birthday,1915
1915-08-02,Bank Holiday,1915
1915-10-04,Labour Day,1915
1915-12-25,Christmas Day,1915
1915-12-27,Boxing Day,1915
1916-01-01,New Years day,1916
1916-01-26,Anniversary Day,1916
1916-04-21,Good Friday,1916
1916-04-22,Easter Saturday,1916
1916-04-24,Easter Monday,1916
1916-06-05,King's Birthday,1916
1916-06-26,Prince of Wales's Birthday,1916
1916-08-07,Bank Holiday,1916
1916-10-02,Labour Day,1916
1916-12-25,Christmas Day,1916
1916-12-26,Boxing Day,1916
1917-01-01,New Years day,1917
1917-01-26,Anniversary Day,1917
1917-04-06,Good Friday,1917
1917-04-07,Easter Saturday,1917
1917-04-09,Easter Monday,1917
1917-06-04,King's Birthday,1917
1917-06-25,Prince of Wales's Birthday,1917
1917-08-06,Bank Holiday,1917
1917-10-01,Labour Day,1917
1917-12-25,Christmas Day,1917
1917-12-26,Boxing Day,1917
1918-01-01,New Years day,1918
1918-01-26,Anniversary Day,1918
1918-03-29,Good Friday,1918
1918-03-30,Easter Saturday,1918
1918-04-01,Easter Monday,1918
1918-06-03,King's Birthday,1918
1918-06-24,Prince of Wales's Birthday,1918
1918-08-05,Bank Holiday,1918
1918-10-07,Labour Day,1918
1918-12-25,Christmas Day,1918
1918-12-26,Boxing Day,1918
1919-01-01,New Years day,1919
1919-01-27,Anniversary Day,1919
1919-04-18,Good Friday,1919
1919-04-19,Easter Saturday,1919
1919-04-21,Easter Monday,1919
1919-06-09,King's Birthday,1919
1919-06-23,Prince of Wales's Birthday,1919
1919-08-04,Bank Holiday,1919
1919-10-06,Labour Day,1919
1919-12-25,Christmas Day,1919
1919-12-26,Boxing Day,1919
1920-01-01,New Years day,1920
1920-01-26,Anniversary Day,1920
1920-04-02,Good Friday,1920
1920-04-03,Easter Saturday,1920
1920-04-05,Easter Monday,1920
1920-06-09,Prince of Wales's Visit,1920
1920-06-10,Prince of Wales's Visit,1920
1920-08-02,Bank Holiday,1920
1920-10-04,Labour Day,1920
1920-12-25,Christmas Day,1920
1920-12-27,Boxing Day,1920
1921-01-01,New Years day,1921
1921-01-26,Anniversary Day,1921
1921-03-25,Good Friday,1921
1921-03-26,Easter Saturday,1921
1921-03-28,Easter Monday,1921
1921-06-06,King's Birthday,1921
1921-06-27,Prince of Wales's Birthday,1921
1921-08-01,Bank Holiday,1921
1921-10-03,Labour Day,1921
1921-12-26,Christmas Day,1921
1921-12-27,Boxing Day,1921
1922-01-02,New Years day,1922
1922-01-26,Anniversary Day,1922
1922-04-14,Good Friday,1922
1922-04-15,Easter Saturday,1922
1922-04-17,Easter Monday,1922
1922-06-05,King's Birthday,1922
1922-06-26,Prince of Wales's Birthday,1922
1922-08-07,Bank Holiday,1922
1922-10-02,Labour Day,1922
1922-12-25,Christmas Day,1922
1922-12-26,Boxing Day,1922
1923-01-01,New Years day,1923
1923-01-26,Anniversary Day,1923
1923-03-30,Good Friday,1923
1923-03-31,Easter Saturday,1923
1923-04-02,Easter Monday,1923
1923-06-04,King's Birthday,1923
1923-06-25,Prince of Wales's Birthday,1923
1923-08-06,Bank Holiday,1923
1923-10-01,Labour Day,1923
1923-12-25,Christmas Day,1923
1923-12-26,Boxing Day,1923
